,nombre,Este,Norte,Tipo Tecnología,zona o huso,Huso,Banda,Latitud,Longitud
0,PE CANELA II,252455.999594381,6532721.01792894,Eólica,19J,19,J,-31.31359877999033,-71.60114385691095
1,PE MONTE REDONDO,246429.999547605,6558791.01841099,Eólica,19J,19,J,-31.077327000669513,-71.65782602433812
2,PE TOTORAL,251545.999581876,6531368.01801292,Eólica,19J,19,J,-31.325599861474565,-71.61103426112967
3,PE PUNTA COLORADA,300187.601095726,6749678.36136697,Eólica,19J,19,J,-29.366221633310644,-71.05853062437109
4,PE CANELA,252276.000098161,6535518.99445907,Eólica,19J,19,J,-31.288341003485673,-71.60233996280286
6,PE TALINAY ORIENTE,252236.999607274,6581553.01782805,Eólica,19J,19,J,-30.87339074095994,-71.59145976052201
7,PE TALINAY ORIENTE,252236.999607274,6581553.01782805,Eólica,19J,19,J,-30.87339074095994,-71.59145976052201
10,PE LOS CURUROS,246372.999548402,6564046.01840466,Eólica,19J,19,J,-31.029949223365794,-71.65710551937764
11,PE EL ARRAYAN,241256.999512209,6613923.01877399,Eólica,19J,19,J,-30.57927299734879,-71.69805448553575
13,PE UCUQUER II,257924.999548059,6230005.0180914,Eólica,19H,19,H,-34.04271867095716,-71.6223083734521
14,PE PUNTA PALMERAS,248506.999558246,6541405.01825721,Eólica,19J,19,J,-31.234480882515186,-71.64041942455833
15,PE TALTAL,414420.999995366,7228198.01123929,Eólica,19J,19,J,-25.059477206282008,-69.84846385564033
19,PE TALINAY PONIENTE,251544.994774186,6582676.99747565,Eólica,19J,19,J,-30.863114003447055,-71.59841796310549
20,PE TALINAY PONIENTE,251544.994774186,6582676.99747565,Eólica,19J,19,J,-30.863114003447055,-71.59841796310549
32,PE SAN JUAN,260338.01409205,6803823.96711737,Eólica,19J,19,J,-28.87100100341336,-71.45714696692347
38,PE SIERRA GORDA ESTE,502596.0,7470021.0,Eólica,19K,19,K,-22.877677369741708,-68.97469135370397
48,PE VALLE DE LOS VIENTOS,518298.85371802,7513327.97569088,Eólica,19K,19,K,-22.48635434990037,-68.82210857757136
49,PE CABO LEONES,261753.0,6795484.0,Eólica,19J,19,J,-28.946473192527716,-71.44441390462741
53,PE SARCO,260575.87,6805623.41,Eólica,19J,19,J,-28.854818337746547,-71.4543287559117
55,PE PUNTA SIERRA,250445.0,6552494.0,Eólica,19,19,9,-31.13494635016929,-71.61733715673823
61,PE CABO LEONES II,261743.0,6790295.0,Eólica,19J,19,J,-28.993264483246463,-71.44561694237166
74,PMGD PE UCUQUER,258988.999563182,6229800.01799827,Eólica,19H,19,H,-34.04481085207797,-71.61084962165921
285,PE LEBU,619571.606484149,5828898.50360288,Eólica,18H,18,H,-37.67932615024746,-73.64401093168348
286,PE LEBU,619571.606484149,5828898.50360288,Eólica,18H,18,H,-37.67932615024746,-73.64401093168348
287,PE CUEL,721518.079360231,5845517.69709814,Eólica,18H,18,H,-37.51072423630393,-72.4937080453449
288,PE LEBU,619571.606484149,5828898.50360288,Eólica,18H,18,H,-37.67932615024746,-73.64401093168348
289,PE SAN PEDRO,587406.87699985,5319658.4568108,Eólica,18G,18,G,-42.2703873059528,-73.94009301501066
290,PE LEBU,619571.606484149,5828898.50360288,Eólica,18H,18,H,-37.67932615024746,-73.64401093168348
291,PE RENAICO I,736614.956651888,5844253.97967775,Eólica,18H,18,H,-37.518356003591514,-72.3226580390001
292,PE LOS BUENOS AIRES,720199.957508155,5842382.98421386,Eólica,18H,18,H,-37.53926800392851,-72.5076690356848
293,PE LA ESPERANZA,717419.022953446,5835410.0224131,Eólica,18H,18,H,-37.60272100398014,-72.53705003513623
294,PE SAN PEDRO II,589535.001522147,5318425.9692773,Eólica,18G,18,G,-42.281244005525025,-73.91410101192758
295,PE AURORA,655155.62,5432906.21,Eólica,18G,18,G,-41.24036881055846,-73.1484389566843
296,PE SAN GABRIEL,719962.364321,5828804.573386,Eólica,18S,18,S,-37.66159787788743,-72.50627552326704
297,PE EL MAITEN,716480.0,5872320.0,Eólica,18S,18,S,-37.27054881691958,-72.55850677497227
